t,o,h,l,c
2026-01-12 09:00:00+00:00,950911.4184000005,951103.8622000002,950177.0181999996,950177.8953999996
2026-01-12 10:00:00+00:00,950182.9506,953299.6410000001,947618.7645999999,947715.5523999999
2026-01-12 11:00:00+00:00,947715.5524,947974.2454,946473.4736,947648.6958
2026-01-12 12:00:00+00:00,947646.3553999999,950603.5397999999,947469.6247999999,950546.3040000004
2026-01-12 13:00:00+00:00,950546.304,951763.6638000004,950237.6142000002,951590.3718000001
2026-01-12 14:00:00+00:00,951589.5396,968783.6249999994,946634.0108,964669.8009999996
2026-01-12 15:00:00+00:00,964740.5399999999,966644.5928000013,961448.1284,966337.7832000012
2026-01-12 16:00:00+00:00,966382.9298,966815.2396000001,960722.3018000001,961793.0810000006
2026-01-12 17:00:00+00:00,961789.0810000006,964140.4740000012,918980.2136,919211.5164000007
2026-01-12 18:00:00+00:00,919210.0756,926441.4572000004,919078.0024,923487.5560000004
2026-01-12 19:00:00+00:00,923538.4997999999,930072.5989999999,923433.6598000001,926132.727
2026-01-12 20:00:00+00:00,926132.727,926132.727,919107.4908000003,920282.1126000005
2026-01-12 21:00:00+00:00,920249.9400000001,920249.9400000001,915457.8008000002,915687.3327999999
2026-01-12 22:00:00+00:00,915699.7196,916735.8991999995,915689.8918,915939.0336000001
2026-01-12 23:00:00+00:00,915915.8448,916078.6759999992,914531.7181999998,914531.7181999998
2026-01-13 00:00:00+00:00,914527.7456,914719.9665999999,912682.2262,913392.53
2026-01-13 01:00:00+00:00,913392.53,914693.9673999998,909067.0995999998,910333.0583999992
2026-01-13 02:00:00+00:00,910333.0583999992,911369.143,910333.0583999992,911221.0118000001
2026-01-13 03:00:00+00:00,911221.0152,913211.8640000001,902389.6204,902517.2748000002
2026-01-13 04:00:00+00:00,902535.176,902933.2868,902515.362,902907.7404000007
2026-01-13 05:00:00+00:00,902907.7404000007,902907.7404000007,889391.3118,889902.3647999999
2026-01-13 06:00:00+00:00,889902.3647999999,899284.7596000007,889902.3647999999,893410.8232000007
2026-01-13 07:00:00+00:00,893410.8232000007,896609.2276000001,890766.2792000005,890767.0792000005
2026-01-13 08:00:00+00:00,890767.079,901062.4064000003,890764.0574,901062.4064000003
2026-01-13 09:00:00+00:00,901063.198,939715.8526000004,900934.0962000003,939684.718600001
2026-01-13 10:00:00+00:00,939684.738600001,942756.3390000009,937856.9008000004,937856.9082000004
2026-01-13 11:00:00+00:00,937856.9082,938412.9576000005,937388.2906000001,937894.0500000006
2026-01-13 12:00:00+00:00,937871.6204,938033.5026000004,937756.7432000004,937898.1512000008
2026-01-13 13:00:00+00:00,937898.1512,943929.9472,935483.2059999998,940671.2860000004
2026-01-13 14:00:00+00:00,940745.1831999999,946184.9608000005,939366.1307999993,945165.4774
2026-01-13 15:00:00+00:00,945165.49,945619.216,942603.4901999994,944777.212199999
2026-01-13 16:00:00+00:00,944777.2503999991,946217.2894,940281.0034,940618.6616
2026-01-13 17:00:00+00:00,940622.2958,945311.1246000001,937155.2048000004,937156.1600000001
2026-01-13 18:00:00+00:00,937156.1600000001,944461.4861999996,937147.9966000002,944461.4861999996
2026-01-13 19:00:00+00:00,944526.0326,946658.4734,943785.3684000003,946359.0171999992
2026-01-13 20:00:00+00:00,946359.0475999992,947930.0259999997,941590.0921999997,947900.9679999995
2026-01-13 21:00:00+00:00,947901.0629999995,957108.6225999998,947876.6923999997,954844.6111999996
2026-01-13 22:00:00+00:00,954877.66,963622.2293999982,941789.9764000002,941976.3128000004
2026-01-13 23:00:00+00:00,941976.6586,952560.4680000002,919371.2457999992,919579.2863999992
2026-01-14 00:00:00+00:00,919579.4833999992,921976.7284000005,918995.7453999995,920074.6105999997
2026-01-14 01:00:00+00:00,920075.1818,920720.4447999996,916553.6044000008,916626.8167999999
2026-01-14 02:00:00+00:00,916671.4608,916956.1274000006,905815.1547999992,910174.1656000008
2026-01-14 03:00:00+00:00,910174.1656000008,916282.7475999999,909520.9708000005,915735.6690000009
2026-01-14 04:00:00+00:00,915747.2168000009,917281.235,909833.6875999998,909863.4276000002
2026-01-14 05:00:00+00:00,909863.4276000002,911804.4813999996,901098.8640000003,911526.0436000003
2026-01-14 06:00:00+00:00,911551.2164,913246.3876000005,910711.3758000003,913246.3876000005
2026-01-14 07:00:00+00:00,913240.6481999999,913338.2166000007,900322.9653999996,906310.9602
2026-01-14 08:00:00+00:00,906310.9602,906310.9602,899173.1146000002,899216.7234000005
2026-01-14 09:00:00+00:00,899217.3892000004,899217.3892000004,891865.7215999997,891865.7215999997
2026-01-14 10:00:00+00:00,891865.7065999997,891875.4342,888949.7172000001,889626.4151999996
2026-01-14 11:00:00+00:00,889627.1672000001,890668.3461999993,886489.9188000008,890562.7881999996
2026-01-14 12:00:00+00:00,890562.7881999996,898556.6570000005,890562.7881999996,898556.6570000005
2026-01-14 13:00:00+00:00,898551.6632,906708.8010000001,896843.8360000004,898748.5323999994
2026-01-14 14:00:00+00:00,898748.5324,940669.7237999997,898031.0857999999,936336.7477999995
2026-01-14 15:00:00+00:00,936580.5941999999,936999.6825999997,927772.5168000001,928340.3465999998
2026-01-14 16:00:00+00:00,928340.3465999998,937711.3169999999,926101.8629999988,929992.1399999999
2026-01-14 17:00:00+00:00,929992.1399999999,955067.9712000013,928085.9776000003,954519.9948000013
2026-01-14 18:00:00+00:00,954503.9378000001,960333.6320000002,953508.2780000007,957456.3844000004
2026-01-14 19:00:00+00:00,957456.388,957458.8537999999,950853.9858000003,953977.5407999991
2026-01-14 20:00:00+00:00,953991.21,958284.5309999993,953246.1079999995,956001.7429999998
2026-01-14 21:00:00+00:00,956019.0714,958449.2897999998,954416.9206000005,957560.751
